LCBO_id,Price,Name,Description,Size,Alcohol,Madein_city,Madein_country,Brand,Sugar,Sweetness,Style1,Style2,Variety,Featured_wines,Recomm_foods
L780809,51.0,"""Domaine Breton Clos Sénéchal 2015","Aromas of dried red fruit, cherry, potpourri, underwood, liquorice and even some leather. On the palate it is quite fresh with medium ripe tannins and a long finish.",750,12.5,,France,Domaine Breton,,,,,Cabernet Franc,,
V437681,33.95,12 Linajes Reserva 2012,"Toasty blackberry and cassis aromas are classic for Ribera, while the firm, compact palate is structured but not fiercely tannic. Flavors of spiced blackberry, plum and fig finish with the right interplay between fruit and oak. Drink through 2028. Editors' Choice. Score - 94. (Michael Schachner, Wine Enthusiast, April 1, 2018)",750,14.0,Ribera del Duero,Spain,D.O. 5 Hispanobodegas,7.0,XD - Extra Dry,Firm,Full-bodied,Tempranillo,,
L419945,14.95,13th Street Burger Blend Gamay Pinot Noir VQA,"Spicy with suggestions of red fruits, leather and sweet spices on the nose. Savoury and juicy in the mouth with fresh acidity, red fruit and soft tannins. Smoky note on the close.  (Vintages panel, April 2015)",750,13.5,Ontario,Canada,Thirteenth Street Wine Corp.,8.0,D - Dry,Fruity,Medium-bodied,Pinot Noir Blend,,"['Gyros Burgers with Oven-Roasted Lemon Potatoes', 'Cashew & Peppered Beef Salad on a Bed of Endive', 'Lamb Triangoli with Brown Butter & Parmesan']"
V56598,16.25,13th Street Cabernet/Merlot 2017,"The 2017 13th Street Cabernet/Merlot is a 56%/44% blend. It's rich, ripe and round, with good complexity and fruit presence and well-placed cassis, dark berry and sweet spice tones alongside some smoky tar and leather. The depth and complexity make this a great value. It will reward 3-5+ years of patience, but you can enjoy it tonight with smoked cheeses, lamb burgers or a medium-rare steak.  (Vintages panel, Sept. 2018)",750,12.0,Ontario,Canada,Thirteenth Street Wine Corp.,11.0,D - Dry,Fruity,Medium-bodied,Cabernet/Merlot,,
V177824,17.95,13th Street Gamay,,750,12.0,Ontario,Canada,Thirteenth Street Wine Corp.,6.0,XD - Extra Dry,Fruity,Medium-bodied,Gamay,,"['Moroccan Turkey Flatbread', 'Tamarind Chicken Tacos', 'Grilled Tuna with Potato Bundles']"
V249458,15.95,13th Street Red Palette 2017,"This bottle from 13th Street is uncomplicated but brimming with juicy red fruit. Raspberry, Cherry, and Strawberry. The tannin is soft, and this wine is pretty much chuggable...I bet that's the first time you've seen that in a wine review. Something to bridge the gap of the late summer barbeques leading into fall with roasts. Score - 4 Stars (out of 5). (André Proulx, andrewinereview.ca, Aug. 3, 2018)",750,13.1,Ontario,Canada,Thirteenth Street Wine Corp.,5.0,XD - Extra Dry,Fruity,Medium-bodied,Red Blend,,
V130195,24.25,13th Street Sandstone Vineyard Gamay Noir 2014,"Hailing from a single site in Niagara-on-the-Lake planted in 1983, this is a traditionally made gamay fermented open-top, punched down and aged in French oak. So no tooty-fruity gamay here, indeed it is quite elegant, complex and refined. Expect complex subtle aromas of red currant/cherry, fine spice, pepper and some twigginess. It's mid-weight, dry and nicely contained with a fine red fruit and spice finish. Very good to excellent length. Nicely focused and balanced. Best now to 2020. Score - 91. (David Lawrason, winealign.com, Nov. 4, 2016)",750,13.0,Ontario,Canada,Thirteenth Street Wine Corp.,2.0,XD - Extra Dry,Fruity,Medium-bodied,Gamay,,
V70573,17.95,14 Hands Winery Cabernet Sauvignon 2016,"Aged in a combination of American and French oak, this Cab has a bit of the restrained power of the wild mustangs for which it was named. (These horses once roamed the hills of the Columbia Valley and measured 14 hands in height.) This dark,  dry wine features notes of vanilla, coffee and spice all layered in and amongst the cassis and blackberry tones. Soft and approachable with wide appeal, it's ideal for ribs. (Vintages panel, Sept. 2018)",750,13.5,Washington,USA,Chat Ste Michelle,10.0,XD - Extra Dry,Fruity,Medium-bodied,Cabernet Sauvignon Blend,,
V590497,60.0,1879 Boutari Legacy 2007,"The 2007 1879 Boutari Legacy is a single-vineyard Xinomavro that references Boutari's long history. Very tight and showing far more power than you'll want just now, this is made for the long haul. With plenty of finesse otherwise, it is most notable at the moment for that big, intense finish. It does seem potentially gorgeous, though, if the hard edge and astringency can moderate over time. I think they will, but it probably needs the better part of a decade in the cellar. Right now, it is closed, mute and all about the potential. Drink Date: 2020-2045.  Score - 92+. (Mark Squires, robertparker.com, Aug. 30, 2016)",750,14.0,Macedonia,Greece,John Boutari & Son,4.0,XD - Extra Dry,Firm,Full-bodied,Xinomavro,,
L461525,18.95,19 Crimes Cabernet Sauvignon,"Inky purple with aromas of strawberry jam, leather, and sweet spices; the palate is full and dry with medium acidity an soft tannins. Look for big fruity flavours of blackberry, strawberry jam, and vanilla followed by a lengthy, spicy finish.",750,13.5,South Australia,Australia,Treasury Wine Estates,2.0,XD - Extra Dry,Firm,Full-bodied,Cabernet Sauvignon,,"['Spring Lamb Rack', 'Lamb Tagine with Apples', 'Lamb Meatballs with Roasted Peppers & Olives']"
L369777,18.95,19 Crimes Shiraz Durif,"Deep ruby in colour with a purple hue; aromas of black cherry, cassis and pepper; flavours replay on the aromas with an emphasis on black pepper and smoke that linger on the finish; medium acidity and medium-high tannin.",750,14.0,South Australia,Australia,Treasury Wine Estates,2.0,XD - Extra Dry,Fruity,Medium-bodied,Syrah/Shiraz,,"['Best Burgers', 'Petite Réveillon Sliders', 'Beef Kefta in Pita']"
L633438,18.95,19 Crimes The Uprising Red Wine,"A portion of this wine has been aged in rum barrels, paying homage to Australia's Rum Rebellion of 1808. Aromas of cherry, vanilla and a hint of spice. The palate is dry, with balanced acidity and supple tannins. Flavours of cherry and vanilla, with a hint of brown sugar on the finish. Serve with steaks, ribs or burgers.",750,15.0,South Australia,Australia,Treasury Wine Estates,15.0,D - Dry,Smooth,Full-bodied,Blend,,"['Shaking Beef with Lime Dipping Sauce', 'Red Wine-Braised Beef in Potato Skins', 'Beef Fillet Steaks with Brown Butter Béarnaise']"
L6395,12.95,20 Bees Cabernet Merlot VQA,"Bees are hardworking, unselfish and in tune with their environment - all qualities that would also describe Ontario winegrowers! Enjoy aromas and flavours of blackcurrant and cherry, with licorice and spicy notes. Serve with grilled meats or a selection of local cheeses.",750,12.2,Ontario,Canada,Diamond Estates Wines & Spirits Ltd,9.0,D - Dry,Fruity,Medium-bodied,Cabernet/Merlot,,"['Thai Beef and Mango Salad on Rice Noodles', 'Grilled Lamb T-Bones', 'Flank Steak with Kale and Bulgur Salad']"
L146829,20.15,20 Bees Cabernet Merlot VQA,"Bees are hardworking, unselfish and in tune with their environment - all qualities that would also describe Ontario winegrowers! Enjoy aromas and flavours of blackcurrant and cherry, with licorice and spicy notes. Serve with grilled meats or a selection of local cheeses.",1500,12.5,Ontario,Canada,Diamond Estates Wines & Spirits Ltd,9.0,D - Dry,Fruity,Medium-bodied,Cabernet/Merlot,,"['Mini Burgers', 'Spinach Salad with Stuffed Mushrooms', 'Soup Joumou']"
L223545,17.95,20 Bees Grower's Red VQA,"Clear purple red colour; red berry fruit, vegetal and a touch of spice; light bodied, dry; berry fruit flavours and with a touch of pepper to finish",1500,12.5,Ontario,Canada,Diamond Estates Wines & Spirits Ltd,12.0,D - Dry,Fruity,Light-bodied,Blend,,"['Molasses Baked Beans With Smoked Pork Chops', 'Chicken Burger with Chipotle Barbecue Sauce', 'Herb-Roasted Chicken with Woodland Mushroom Linguine']"
L487744,7.55,20 Bees Keepers Red Cabernet Shiraz,"Created to be approachable and easy-drinking making it perfect for pairing with pizza night; pours a deep ruby and exudes playful aromas of plum, cassis, and cherry. The palate is smooth and dry with balanced acid and tannins; great on its own or with casual fare.",750,12.5,Ontario,Canada,Diamond Estates Wines & Spirits Ltd,10.0,D - Dry,Fruity,Medium-bodied,Cabernet Sauvignon/Shiraz,,
V561035,24.95,2027 Cellars Edgerock Vineyard Pinot Noir 2016,"This is Panagapka's first attempt at a Pinot Noir at this lower price point. Quality Pinot like this is hard to find in Niagara (or anywhere, for that matter). Edgerock is a vineyard on the Twenty Mile Bench farmed by Wismer. Panagapka uses 40% new French oak, always wild fermentation for all his wines, 70% of the fruit is whole berry pressed. The quality of oak, grapes and winemaking for 2027 Cellars is the same across the board whether it's a $19 bottle of wine or a $40 bottle. The nose on this fine Pinot is fresh and delicate with strawberry, cherry, rhubarb, subtle toasted vanilla and oak. Turns more complex on the palate with obvious tannins to bring complexity and structure into the equation to go with savoury red fruits, underbrush and well-integrated spice notes. A personable Pinot that will have you scratching head at the quality to price ratio. Score - 91. (Rick VanSickle, winesinniagara.com, Dec. 4, 2017)",750,12.6,Ontario,Canada,2027 Cellars Ltd.,4.0,XD - Extra Dry,Fruity,Medium-bodied,Pinot Noir,,
V15495,17.95,3 Rings Shiraz 2016,"The dark, stormy and meaty side of Shiraz is more than ample in this South Australian number, in fact its bloody-crikey all in. All the fruits under the warm and sanguine aromatic colours of the rainbow swirl and paint the sky in Man Ray swath. Fruit sweetened brushstrokes thicken to texture while splashes of acidity help the merge into tannic poster-posturing. Well made and from the right stuff. Drink 2020-2026.  Score - 90. (Michael Godel, winealign.com, April 24, 2019)",750,13.5,South Australia,Australia,The Arh Australian Wine Company Pty,5.0,XD - Extra Dry,Smooth,Full-bodied,Shiraz/Syrah,,
L336296,36.4,300 Red 2008,"The 300 wine is richly structured and loaded with complex flavour reminiscent of dark red fruits such as blackberries and black cherries. On the palate a rich, round, opulent feel. The dark fruit character intermingles with the subtle oak notes in the long finish.",750,13.0,,Greece,G. Tsimpidis And Co. Monemvasia Win,,,,,Mavroudi/Agiorgitiko,,
L218859,12.95,35° South Cabernet Sauvignon Merlot Organic,"Bright ruby colour with aromas of cassis, soft fruits and subtle earthiness; dry, medium body",750,13.0,,Chile,Vina San Pedro,4.0,XD - Extra Dry,Fruity,Medium-bodied,Blend,,"['Butterflied Lamb with Italian Seasonings', 'Scottish-Style Leg of Lamb', 'Slow-Roasted Shoulder of Lamb with Roasted Garlic']"
L10403,13.95,35° South Red Blend Organic,,750,13.0,,Chile,Vina San Pedro,5.0,XD - Extra Dry,Fruity,Medium-bodied,Blend,,
L341262,15.75,370 Leguas 2015,"Named for the meridian that once delineated Portuguese island territories, this ruby-coloured, vanilla-scented wine from the Douro region is packed with red berry flavours. For an excellent food pairing, serve it with bison or lamb burgers.",750,13.0,,Portugal,Goanvi - Cantral De Engarrafam,,,,,Red Blend,,
V609164,39.95,50th Parallel Estate Pinot Noir 2015,"100% Pinot Noir. Black raspberry, strawberry and boysenberry aromas and flavours with a gentle touch of leather and smoky oak. Big, complex wine. Score - 90. (Decanter World Wine Awards, 2017)",750,15.0,British Columbia,Canada,50th Parallel Estate Limited Partne,2.0,XD - Extra Dry,Smooth,Full-bodied,Pinot Noir,,
L437442,8.95,56 Hundred Cabernet Sauvignon Shiraz,"56 Hundred is in reference to the price paid for Nederburg farm in 1791; since then the winery has built a reputation for quality wine. This offering is a full-flavoured experience with notes of black currant, plum, and charred oak on a medium weight palate that finishes with a ripe raspberry note.",750,14.0,Western Cape,South Africa,Stellenbosch Farmers Winery,4.0,XD - Extra Dry,Smooth,Full-bodied,Cabernet Sauvignon/Syrah,,"['Grilled Hangar Steak', 'Horseradish Grilled Steak and Potato Salad', 'Hanger Steak with Grilled Onions & Sweet and Sour Cherries']"
