LCBO_id,Price,Name,Description,Size,Alcohol,Madein_city,Madein_country,Brand,Sugar,Sweetness,Style1,Style2,Variety,Pic_src,Featured_wines,Recomm_foods
V540591,12.35,La Poderosa Cabernet Sauvignon,,750,13.0,Rapel Valley,Chile,10 International Limited - 134919,3.0,,Smooth,Full-bodied,Cabernet Sauvignon,https://www.lcbo.com/content/dam/lcbo/products/540591.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V540583,12.55,La Poderosa Malbec KPM,,750,13.0,Rapel Valley,Chile,10 International Limited - 134919,2.0,,Smooth,Full-bodied,Malbec,https://www.lcbo.com/content/dam/lcbo/products/540583.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V261586,15.95,La Posta Estela Armando Bonarda 2017,"This alluringly earthy Bonarda shows ripe berry fruit and chocolaty notes. It'll go nicely with mildly spiced bean burritos, or chicken thighs in a mole rosa sauce.",750,13.9,Mendoza,Argentina,Laura Catena,3.0,XD - Extra Dry,Fruity,Medium-bodied,Bonarda,https://www.lcbo.com/content/dam/lcbo/products/261586.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V166298,15.95,La Posta Pizzella Malbec 2017,"Lots of black licorice to this malbec as well as citrus, bark and some moss. Tightly wound with firm tannins, driven acidity and a very minerally finish. Drink now. Score - 93. (James Suckling, jamessuckling.com, Jan. 22, 2019)",750,13.5,Mendoza,Argentina,Laura Catena,2.0,XD - Extra Dry,Firm,Full-bodied,Malbec,https://www.lcbo.com/content/dam/lcbo/products/166298.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V555789,14.95,La Posta Tinto 2016,"A juicy and delicious red with plum and berry character and hints of chocolate and spice. Full body, round tannins and a savory finish. Drink now. Score - 92. (James Suckling, jamessuckling.com, June 21, 2017)",750,13.0,Mendoza,Argentina,Puerto Ancona S.A.,4.0,XD - Extra Dry,Firm,Full-bodied,Malbec Blend,https://www.lcbo.com/content/dam/lcbo/products/555789.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V530543,15.95,La Prua Appassimento 2016,"This wine is grown in volcanic soils on the slopes of Monte Lessini and made using slightly raisinated grapes that impart greater depth and concentration to the fruit. It offers up fine berry fruit, cherry, cassis and mineral, with an alluring smoky undertone. Smooth and silky, this appassimento will be superb with spicy sausages. (Vintages panel, June 2018)",750,13.5,Veneto,Italy,Mare Magnum,10.0,D - Dry,Fruity,Medium-bodied,Corvina,https://www.lcbo.com/content/dam/lcbo/products/530543.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V178830,14.95,La Putere Feteasca Neagra 2016,,750,14.0,,Romania,Cramele Recas,3.0,XD - Extra Dry,Smooth,Full-bodied,Feteasca Neagra,https://www.lcbo.com/content/dam/lcbo/products/178830.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V402099,75.0,La Rasina Brunello di Montalcino 2012,"A wonderfully precise and clear red with cherry, plum and floral character. Hints of lemons. Full body and firm and velvety tannins. Long and tannic. Yet this still shows polish. Better in 2020. Score - 96. (James Suckling, jamessuckling.com, Nov. 30, 2016)",750,14.0,Tuscany,Italy,Az. Ag. La Rasina,4.0,XD - Extra Dry,,,Sangiovese,https://www.lcbo.com/content/dam/lcbo/products/generic.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V11175,33.95,La Rioja Alta Viña Alberdi Reserva,,750,13.5,,Spain,La Rioja Alta. S.A.,,,,,Tempranillo,https://www.lcbo.com/content/dam/lcbo/products/generic.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V161893,24.95,La Rioja Alta Viña Alberdi Reserva 2010,"Ripe and intense aromas of strawberries and blackberries with hints of black ink. Savory notes, too. Full-bodied, chewy and focused with linear fruit and character. Very finely crafted. Drink or hold. Score - 95. (James Suckling, jamessuckling.com, Dec. 2, 2016)",750,13.0,Rioja,Spain,La Rioja Alta. S.A.,2.0,XD - Extra Dry,Fruity,Medium-bodied,Tempranillo,https://www.lcbo.com/content/dam/lcbo/products/161893.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
